img,building_percent,overlap_percent
387,0.06,15.55
388,0.37,26.46
389,1.21,16.96
38,1.84,24.07
390,0.46,27.93
391,1.72,8.61
392,0.03,41.38
393,0.92,22.89
394,3.28,24.02
395,2.58,19.41
396,0.54,36.98
397,2.7,45.37
398,0.16,34.39
399,0.29,19.42
39,0.56,18.93
3,8.06,20.31
400,0.33,20.41
401,0.84,18.15
402,1.4,18.56
403,0.88,3.79
404,1.14,13.06
405,0.14,6.87
406,0.66,13.95
407,0.0,25.82
408,0.67,5.06
409,0.53,5.82
40,4.84,19.27
410,0.9,48.69
411,0.54,36.96
412,2.1,40.92
413,0.54,17.09
414,0.13,6.59
415,0.23,6.56
416,1.0,14.03
417,0.28,18.82
418,1.19,15.05
419,1.68,14.73
41,1.43,11.33
420,1.35,14.09
421,0.41,13.22
422,0.86,17.92
423,0.53,38.21
424,1.91,24.1
425,0.73,17.38
426,0.03,16.33
427,0.71,26.37
428,0.07,18.48
429,0.78,11.46
42,1.2,6.55
430,2.84,25.69
431,1.62,35.24
432,0.58,12.38
433,0.19,9.56
434,2.1,18.91
435,0.17,10.13
436,0.3,3.27
437,0.4,21.57
438,0.0,22.29
439,0.66,20.7
43,1.44,36.99
440,2.43,32.01
441,0.16,14.9
442,1.43,49.57
443,0.4,22.73
444,0.04,25.76
445,0.0,20.89
446,10.26,25.14
447,0.0,42.65
448,0.4,22.73
449,0.91,9.84
44,1.09,12.05
450,0.75,12.56
451,4.6,22.54
452,1.71,16.52
453,0.0,36.19
454,0.06,17.93
455,1.26,20.18
456,0.0,42.36
457,0.0,14.44
458,0.34,16.58
459,0.0,10.31
45,0.93,25.07
460,0.6,10.29
461,0.0,18.63
462,1.3,17.62
463,0.55,64.31
464,0.01,43.12
465,1.19,25.83
466,3.16,58.71
467,0.0,28.1
468,0.0,21.61
469,0.0,12.51
46,1.02,11.58
470,0.0,15.48
471,0.15,10.33
472,6.41,37.61
473,0.0,19.34
474,6.4,15.09
475,1.72,11.26
476,0.0,18.57
477,0.71,39.21
478,0.79,18.17
479,2.25,56.96
47,0.18,16.45
480,1.97,54.79
481,0.13,16.9
482,0.43,2.54
483,1.78,18.28
484,1.35,8.85
485,1.48,14.89
486,1.94,12.65
487,0.0,49.2
488,1.65,21.08
489,1.78,25.01
48,5.09,27.79
490,0.37,23.53
491,0.0,55.03
492,1.15,11.67
493,0.85,26.87
494,5.12,33.17
495,0.15,17.95
496,0.22,11.92
497,3.0,17.62
498,1.01,11.91
499,0.94,8.04
49,0.05,18.43
4,1.53,32.92
500,2.19,24.45
501,6.7,15.77
502,0.0,6.05
503,1.08,33.65
504,1.33,14.31
505,0.47,10.78
506,1.13,24.66
507,1.68,12.67
508,2.06,23.64
509,1.09,22.53
50,1.61,8.95
510,3.74,23.28
511,2.11,31.7
512,0.36,26.65
513,0.49,22.18
514,3.22,19.66
515,0.68,23.53
516,3.5,17.96
517,3.04,5.38
518,11.32,33.64
519,1.66,17.15
51,0.61,26.84
520,0.5,15.74
521,0.77,22.01
522,0.0,42.08
523,1.19,29.83
524,0.0,30.9
525,0.0,23.42
526,0.0,5.05
527,0.06,16.92
528,0.0,26.26
529,0.01,17.6
52,3.11,26.92
530,0.97,10.81
531,0.07,32.8
532,0.0,56.14
533,3.7,25.52
534,1.11,19.48
535,0.08,28.9
536,0.0,20.99
537,1.08,40.5
538,1.27,42.56
539,7.65,42.21
53,0.8,11.32
540,0.15,16.54
541,0.39,13.19
542,2.43,13.41
543,0.59,29.77
544,0.11,48.03
545,0.78,31.07
546,0.73,18.97
547,0.57,25.03
548,3.52,39.29
549,1.43,28.34
54,0.15,21.87
550,2.98,29.03
551,1.94,29.22
552,1.06,25.64
553,1.94,15.55
554,2.99,9.2
555,0.41,11.14
556,1.63,42.55
557,0.73,16.86
558,2.19,51.93
559,4.31,34.22
55,1.76,16.55
560,0.34,15.1
561,0.08,28.83
562,1.42,7.46
563,1.0,16.75
564,0.33,11.2
565,0.1,20.11
566,0.03,38.91
567,1.03,6.48
568,0.23,23.04
569,0.0,20.71
56,2.22,28.89
570,0.43,52.93
571,1.65,18.41
572,0.29,14.44
573,0.34,21.33
574,0.27,25.19
575,1.23,8.21
576,0.54,32.23
577,0.42,14.05
578,4.88,17.03
579,0.74,45.07
57,3.34,38.52
580,2.05,40.12
581,2.57,34.32
582,0.0,15.03
583,1.31,5.7
584,0.0,44.69
585,0.57,35.14
586,0.0,23.55
587,0.08,22.34
588,0.0,5.54
589,0.72,22.1
58,1.29,25.97
590,0.48,23.04
591,1.21,36.31
592,0.15,39.34
593,1.42,20.85
594,0.26,40.08
595,0.0,44.58
596,0.15,23.62
597,1.84,23.08
598,0.27,9.49
599,0.0,30.09
59,1.24,13.37
5,0.22,11.64
600,1.95,56.71
601,0.57,17.75
602,0.0,4.09
603,0.0,26.89
604,3.55,12.67
605,2.96,46.64
606,1.04,13.79
607,1.64,9.91
608,0.41,25.84
609,0.42,14.04
60,1.09,27.94
610,1.0,9.49
611,0.0,19.6
612,1.97,29.72
613,3.67,8.83
614,0.33,18.13
615,6.79,42.65
616,0.93,12.31
617,0.25,17.63
618,2.37,42.12
619,1.64,14.14
61,2.78,19.98
620,0.1,32.01
621,1.04,12.96
622,0.35,16.99
623,1.15,10.54
624,0.33,35.97
625,1.05,27.85
626,2.13,16.82
627,0.85,21.41
628,1.67,9.75
629,3.14,21.04
62,1.88,34.39
630,10.48,19.22
631,1.04,17.11
632,0.13,13.86
633,1.67,23.45
634,2.1,20.69
635,2.34,30.04
636,0.08,43.2
637,0.91,31.55
638,16.88,33.89
639,4.72,30.24
63,0.16,27.53
640,0.36,29.88
641,0.55,21.93
642,0.04,8.51
643,1.18,16.42
644,9.05,17.98
645,0.53,25.37
646,0.02,12.54
647,0.06,8.26
648,0.1,32.31
649,1.12,9.91
64,2.02,30.86
650,0.81,11.11
651,1.09,42.92
652,0.01,20.58
653,0.18,27.49
654,0.9,27.34
655,1.5,23.9
656,2.63,36.89
657,0.7,10.93
658,0.05,10.13
659,0.91,11.74
65,1.44,18.26
660,1.04,33.69
